gene,disease
HNF4A,diabetes mellitus
PAX4,diabetes mellitus
PPP1R3A,diabetes mellitus
GCK,diabetes mellitus
FOXP3,diabetes mellitus
INS,diabetes mellitus
KCNJ11,diabetes mellitus
AKT2,diabetes mellitus
PTPN22,diabetes mellitus
GCK,diabetes mellitus
IRS1,diabetes mellitus
KCNJ11,diabetes mellitus
HNF1A,diabetes mellitus
INS,diabetes mellitus
PDX1,diabetes mellitus
ABCC8,diabetes mellitus
GLIS3,diabetes mellitus
NEUROD1,diabetes mellitus
SLC2A4,diabetes mellitus
HNF1B,diabetes mellitus
GCK,diabetes mellitus
ABCC8,diabetes mellitus
ZFP57,diabetes mellitus
INS,diabetes mellitus
INS,diabetes mellitus
HNF1A,diabetes mellitus
ADCY5,diabetes mellitus
CAPN10,diabetes mellitus
HMGA1,diabetes mellitus
INS,diabetes mellitus
INSR,diabetes mellitus
PDX1,diabetes mellitus
ENPP1,diabetes mellitus
PPARG,diabetes mellitus
CDKAL1,diabetes mellitus
SLC2A2,diabetes mellitus
ABCC8,diabetes mellitus
TCF7L2,diabetes mellitus
TGFB1,diabetes mellitus
WFS1,diabetes mellitus
IRS2,diabetes mellitus
ABCC8,diabetes mellitus
GCK,diabetes mellitus
HNF4A,diabetes mellitus
NEUROD1,diabetes mellitus
HNF1A,diabetes mellitus
INSR,diabetes mellitus
INS,diabetes mellitus
KCNJ11,diabetes mellitus
HNF1A,diabetes mellitus
DNAJC3,diabetes mellitus
LIPC,diabetes mellitus
BCL2,diabetes mellitus
KCNJ11,diabetes mellitus
PAX4,diabetes mellitus
MAPK8IP1,diabetes mellitus
BLK,diabetes mellitus
KLF11,diabetes mellitus
PDX1,diabetes mellitus
PAX4,diabetes mellitus
HP,diabetes mellitus
IFNG,diabetes mellitus
PPARGC1A,diabetes mellitus
EDN1,diabetes mellitus
EDNRA,diabetes mellitus
SIRT1,diabetes mellitus
HMOX1,diabetes mellitus
HP,diabetes mellitus
ICAM1,diabetes mellitus
LEP,diabetes mellitus
LEPR,diabetes mellitus
NOS3,diabetes mellitus
TNF,diabetes mellitus
UCP2,diabetes mellitus
ADIPOQ,diabetes mellitus
TNFRSF1A,diabetes mellitus
NOS2,diabetes mellitus
KL,diabetes mellitus
CPT1A,diabetes mellitus
ABCC8,diabetes mellitus
SNAP25,diabetes mellitus
HYMAI,diabetes mellitus
EDNRB,diabetes mellitus
ATP2A2,diabetes mellitus
PPARG,diabetes mellitus
PPARGC1A,diabetes mellitus
ADRA1A,diabetes mellitus
CYBA,diabetes mellitus
CYBB,diabetes mellitus
CYP1A1,diabetes mellitus
ADRB3,diabetes mellitus
ACE,diabetes mellitus
EDN1,diabetes mellitus
FOXO3,diabetes mellitus
SIRT1,diabetes mellitus
FGF21,diabetes mellitus
GCK,diabetes mellitus
GPX1,diabetes mellitus
GSR,diabetes mellitus
HMOX1,diabetes mellitus
ICAM1,diabetes mellitus
IFNG,diabetes mellitus
IGF1,diabetes mellitus
FAS,diabetes mellitus
IL1B,diabetes mellitus
IL6,diabetes mellitus
INSR,diabetes mellitus
PDX1,diabetes mellitus
IRS1,diabetes mellitus
KCNJ11,diabetes mellitus
LEP,diabetes mellitus
MMP9,diabetes mellitus
MPO,diabetes mellitus
NOS2,diabetes mellitus
NOS3,diabetes mellitus
ATP2A2,diabetes mellitus
ATP2A3,diabetes mellitus
PCK1,diabetes mellitus
PCSK2,diabetes mellitus
PKLR,diabetes mellitus
PPARG,diabetes mellitus
PRKCD,diabetes mellitus
PTGS2,diabetes mellitus
BAX,diabetes mellitus
BCL2,diabetes mellitus
RELA,diabetes mellitus
BCL2L1,diabetes mellitus
BDKRB1,diabetes mellitus
CX3CL1,diabetes mellitus
SLC2A2,diabetes mellitus
SLC2A4,diabetes mellitus
SLC9A3,diabetes mellitus
SOD1,diabetes mellitus
SOD2,diabetes mellitus
SREBF1,diabetes mellitus
TGFB1,diabetes mellitus
TIMP1,diabetes mellitus
TNF,diabetes mellitus
TNFRSF1A,diabetes mellitus
TP53,diabetes mellitus
UCP2,diabetes mellitus
VEGFA,diabetes mellitus
CASP3,diabetes mellitus
CAT,diabetes mellitus
CAV1,diabetes mellitus
AOC3,diabetes mellitus
IRS2,diabetes mellitus
CASP12,diabetes mellitus
CLEC16A,diabetes mellitus
HLA-DQA1,diabetes mellitus
HLA-DQB1,diabetes mellitus
HLA-DRB1,diabetes mellitus
IL2RA,diabetes mellitus
IL10,diabetes mellitus
FOXP3,diabetes mellitus
IGF2BP2,diabetes mellitus
SLC30A8,diabetes mellitus
GLIS3,diabetes mellitus
JAZF1,diabetes mellitus
GCGR,diabetes mellitus
GCKR,diabetes mellitus
GLP1R,diabetes mellitus
KCNQ1,diabetes mellitus
MTNR1B,diabetes mellitus
RETN,diabetes mellitus
PTPN1,diabetes mellitus
FTO,diabetes mellitus
INS,diabetes mellitus
KCNJ11,diabetes mellitus
HNF1B,diabetes mellitus
CAPN10,diabetes mellitus
IL2RA,diabetes mellitus
INS,diabetes mellitus
INS,diabetes mellitus
THADA,diabetes mellitus
HMG20A,diabetes mellitus
CP,diabetes mellitus
SH2B3,diabetes mellitus
NOTCH2,diabetes mellitus
PROX1,diabetes mellitus
RAC1,diabetes mellitus
GPD2,diabetes mellitus
UBE2E2,diabetes mellitus
KCNK16,diabetes mellitus
CEL,diabetes mellitus
GLIS3,diabetes mellitus
AP3S2,diabetes mellitus
MAEA,diabetes mellitus
APPL1,diabetes mellitus
CTSH,diabetes mellitus
BACH2,diabetes mellitus
TYK2,diabetes mellitus
GRB14,diabetes mellitus
PEPD,diabetes mellitus
CMIP,diabetes mellitus
ITGA1,diabetes mellitus
PAM,diabetes mellitus
PLEKHA1,diabetes mellitus
ZFAND3,diabetes mellitus
DGKD,diabetes mellitus
CCND2,diabetes mellitus
PSMD6,diabetes mellitus
EIF2S3,diabetes mellitus
C1QTNF6,diabetes mellitus
CD69,diabetes mellitus
KSR2,diabetes mellitus
NFATC2,diabetes mellitus
APPL1,diabetes mellitus
FN1,diabetes mellitus
SIRT1,diabetes mellitus
IRS1,diabetes mellitus
LEPR,diabetes mellitus
ATP6,diabetes mellitus
POMC,diabetes mellitus
PON1,diabetes mellitus
PTGS2,diabetes mellitus
SOD1,diabetes mellitus
CAT,diabetes mellitus
NR1I2,diabetes mellitus
ADIPOQ,diabetes mellitus
CRP,diabetes mellitus
IGF1,diabetes mellitus
IL6,diabetes mellitus
NOS3,diabetes mellitus
PRKCQ,diabetes mellitus
TNF,diabetes mellitus
CAT,diabetes mellitus
ZNF257,diabetes mellitus
KLF14,diabetes mellitus
CYBA,diabetes mellitus
ETS1,diabetes mellitus
CNKSR2,diabetes mellitus
JADE2,diabetes mellitus
AUTS2,diabetes mellitus
EPC2,diabetes mellitus
FGF21,diabetes mellitus
GCG,diabetes mellitus
GNB3,diabetes mellitus
GP2,diabetes mellitus
GSTM1,diabetes mellitus
HHEX,diabetes mellitus
IAPP,diabetes mellitus
IL13RA1,diabetes mellitus
INPPL1,diabetes mellitus
MIR126,diabetes mellitus
MIR375,diabetes mellitus
PPARA,diabetes mellitus
MOK,diabetes mellitus
RNF6,diabetes mellitus
SCTR,diabetes mellitus
SHBG,diabetes mellitus
ST6GAL1,diabetes mellitus
SLC1A2,diabetes mellitus
SLC2A1,diabetes mellitus
SOD1,diabetes mellitus
SOD2,diabetes mellitus
BRAF,diabetes mellitus
FAM234A,diabetes mellitus
USP48,diabetes mellitus
CAT,diabetes mellitus
VPS26A,diabetes mellitus
GLIS3,diabetes mellitus
GCK,diabetes mellitus
AKR1B1,diabetes mellitus
SUMO4,diabetes mellitus
FOXC2,diabetes mellitus
TBC1D4,diabetes mellitus
AOC3,diabetes mellitus
TNFRSF1B,diabetes mellitus
CASP3,diabetes mellitus
PAX6,diabetes mellitus
KCNJ11,diabetes mellitus
OGG1,diabetes mellitus
SFRP4,diabetes mellitus
EIF2AK3,diabetes mellitus
PAX4,diabetes mellitus
EGFR,diabetes mellitus
GPX1,diabetes mellitus
MIR27A,diabetes mellitus
NFKB1,diabetes mellitus
ADAMTS9,diabetes mellitus
HP,diabetes mellitus
VEGFA,diabetes mellitus
CYBB,diabetes mellitus
SLC29A3,diabetes mellitus
HBA1,diabetes mellitus
MIR144,diabetes mellitus
MIR192,diabetes mellitus
PCSK2,diabetes mellitus
PRKCB,diabetes mellitus
GATA6,diabetes mellitus
PLAGL1,diabetes mellitus
NR1I3,diabetes mellitus
SLC11A1,diabetes mellitus
STAT3,diabetes mellitus
TIMP1,diabetes mellitus
MAP3K5,diabetes mellitus
MT2A,diabetes mellitus
IL27,diabetes mellitus
FGF21,diabetes mellitus
TMEM18,diabetes mellitus
C2CD4A,diabetes mellitus
MIR221,diabetes mellitus
ATF3,diabetes mellitus
SLC22A3,diabetes mellitus
RFX6,diabetes mellitus
ZFP57,diabetes mellitus
PDX1,diabetes mellitus
PON1,diabetes mellitus
ABCC8,diabetes mellitus
NCF1,diabetes mellitus
CP,diabetes mellitus
ITPR3,diabetes mellitus
ABCC8,diabetes mellitus
C2CD4B,diabetes mellitus
C3,diabetes mellitus
MNX1,diabetes mellitus
NEUROD1,diabetes mellitus
NEUROG3,diabetes mellitus
SLC2A2,diabetes mellitus
KCNJ11,diabetes mellitus
CPT1A,diabetes mellitus
ALPK1,diabetes mellitus
NOS1,diabetes mellitus
HK1,diabetes mellitus
FAS,diabetes mellitus
MIR130B,diabetes mellitus
MIR222,diabetes mellitus
ATP2A3,diabetes mellitus
CISD2,diabetes mellitus
MIR423,diabetes mellitus
RELA,diabetes mellitus
MIR483,diabetes mellitus
CBS,diabetes mellitus
PTF1A,diabetes mellitus
FOXP3,diabetes mellitus
STAT3,diabetes mellitus
HNF1B,diabetes mellitus
ALDH2,diabetes mellitus
KIF1A,diabetes mellitus
THBS2,diabetes mellitus
HSD11B2,diabetes mellitus
IL20,diabetes mellitus
PPARG,diabetes mellitus
ECE1,diabetes mellitus
HLA-DRB5,diabetes mellitus
MIR10B,diabetes mellitus
MIR140,diabetes mellitus
MIR142,diabetes mellitus
MIR200A,diabetes mellitus
MIR203A,diabetes mellitus
MIR204,diabetes mellitus
MIR214,diabetes mellitus
MIR30A,diabetes mellitus
MIR98,diabetes mellitus
MIR377,diabetes mellitus
PAX6,diabetes mellitus
ITLN1,diabetes mellitus
CCDC92,diabetes mellitus
SLC19A2,diabetes mellitus
GATA4,diabetes mellitus
NKX2-2,diabetes mellitus
IER3IP1,diabetes mellitus
CTLA4,diabetes mellitus
HLA-DRB1,diabetes mellitus
ADRB1,diabetes mellitus
ZFP57,diabetes mellitus
KIF5B,diabetes mellitus
CHRM2,diabetes mellitus
CPT1A,diabetes mellitus
CPT1B,diabetes mellitus
NQO1,diabetes mellitus
AGT,diabetes mellitus
ESRRA,diabetes mellitus
ACSL1,diabetes mellitus
GPD2,diabetes mellitus
HK1,diabetes mellitus
HSD11B1,diabetes mellitus
IAPP,diabetes mellitus
ID1,diabetes mellitus
LEPR,diabetes mellitus
STS,diabetes mellitus
MAP3K5,diabetes mellitus
MFGE8,diabetes mellitus
MMP2,diabetes mellitus
COX2,diabetes mellitus
ND1,diabetes mellitus
ATF3,diabetes mellitus
NEUROD1,diabetes mellitus
NKX6-1,diabetes mellitus
SERPINE1,diabetes mellitus
PAX6,diabetes mellitus
ACOX1,diabetes mellitus
PDK4,diabetes mellitus
PFKM,diabetes mellitus
S1PR5,diabetes mellitus
PPARA,diabetes mellitus
PRKCA,diabetes mellitus
PRKCE,diabetes mellitus
GPAM,diabetes mellitus
REN,diabetes mellitus
S100A6,diabetes mellitus
CCL20,diabetes mellitus
ACOT1,diabetes mellitus
NCF1,diabetes mellitus
SLC9A1,diabetes mellitus
SNAP25,diabetes mellitus
TIMP2,diabetes mellitus
YWHAH,diabetes mellitus
CAV3,diabetes mellitus
S1PR4,diabetes mellitus
AIFM1,diabetes mellitus
S1PR2,diabetes mellitus
CD68,diabetes mellitus
CHRM2,diabetes mellitus
DDIT3,diabetes mellitus
IL19,diabetes mellitus
CCL20,diabetes mellitus
AIFM1,diabetes mellitus
FOS,diabetes mellitus
CAVIN1,diabetes mellitus
CAV1,diabetes mellitus
MIR744,diabetes mellitus
MIR885,diabetes mellitus
MIR939,diabetes mellitus
BCL2L11,diabetes mellitus
MIR1249,diabetes mellitus
MIR1296,diabetes mellitus
MIR1307,diabetes mellitus
MIR1306,diabetes mellitus
MIR1228,diabetes mellitus
MIR1226,diabetes mellitus
MIR1260A,diabetes mellitus
MIR1301,diabetes mellitus
MIR1908,diabetes mellitus
MIR2116,diabetes mellitus
MIR3173,diabetes mellitus
MIR1260B,diabetes mellitus
MIR4516,diabetes mellitus
MIR4482,diabetes mellitus
MIR7704,diabetes mellitus
MIR8061,diabetes mellitus
MIR6741,diabetes mellitus
MIR6803,diabetes mellitus
CDO1,diabetes mellitus
NUS1,diabetes mellitus
TMEM155,diabetes mellitus
CYP1A2,diabetes mellitus
KCNU1,diabetes mellitus
MRAS,diabetes mellitus
HPX,diabetes mellitus
ID1,diabetes mellitus
MIRLET7D,diabetes mellitus
MIR125B1,diabetes mellitus
MIR127,diabetes mellitus
MIR141,diabetes mellitus
MIR181C,diabetes mellitus
MIR195,diabetes mellitus
MIR205,diabetes mellitus
MIR215,diabetes mellitus
MIR17HG,diabetes mellitus
SMAD5,diabetes mellitus
MAT1A,diabetes mellitus
MIR151A,diabetes mellitus
MIR335,diabetes mellitus
MIR339,diabetes mellitus
NKX6-1,diabetes mellitus
ZC3HC1,diabetes mellitus
MIR409,diabetes mellitus
MIR485,diabetes mellitus
MIR432,diabetes mellitus
BCL2L1,diabetes mellitus
S100A6,diabetes mellitus
BHMT,diabetes mellitus
MIR487B,diabetes mellitus
MIR33B,diabetes mellitus
MIR532,diabetes mellitus
MIR628,diabetes mellitus
MIR92B,diabetes mellitus
CASP8,diabetes mellitus
AGPAT2,diabetes mellitus
IL2RA,diabetes mellitus
INSR,diabetes mellitus
ABCC4,diabetes mellitus
SLC51B,diabetes mellitus
SLC51A,diabetes mellitus
HIF1A,diabetes mellitus
SLC10A2,diabetes mellitus
NR0B2,diabetes mellitus
STAT3,diabetes mellitus
HNF1B,diabetes mellitus
CCR5,diabetes mellitus
SH2B3,diabetes mellitus
CASP12,diabetes mellitus
CHRM2,diabetes mellitus
C1QTNF6,diabetes mellitus
CP,diabetes mellitus
CRP,diabetes mellitus
CTSH,diabetes mellitus
DDIT3,diabetes mellitus
GLIS3,diabetes mellitus
CLEC16A,diabetes mellitus
IL27,diabetes mellitus
PTPN22,diabetes mellitus
FGF21,diabetes mellitus
IL19,diabetes mellitus
HLA-DQA1,diabetes mellitus
HLA-DQB1,diabetes mellitus
HP,diabetes mellitus
HSD11B2,diabetes mellitus
IFNG,diabetes mellitus
IGF1,diabetes mellitus
IL2RA,diabetes mellitus
IL6,diabetes mellitus
IL10,diabetes mellitus
ITPR3,diabetes mellitus
KCNJ11,diabetes mellitus
NOS1,diabetes mellitus
NOS3,diabetes mellitus
IL20,diabetes mellitus
SLC29A3,diabetes mellitus
PRKCQ,diabetes mellitus
BACH2,diabetes mellitus
CCL20,diabetes mellitus
SLC11A1,diabetes mellitus
STAT3,diabetes mellitus
ABCC8,diabetes mellitus
HNF1A,diabetes mellitus
TNF,diabetes mellitus
TYK2,diabetes mellitus
CAT,diabetes mellitus
AIFM1,diabetes mellitus
CD69,diabetes mellitus
SH2B3,diabetes mellitus
CASP12,diabetes mellitus
CHRM2,diabetes mellitus
C1QTNF6,diabetes mellitus
CP,diabetes mellitus
CRP,diabetes mellitus
CTSH,diabetes mellitus
DDIT3,diabetes mellitus
GLIS3,diabetes mellitus
CLEC16A,diabetes mellitus
IL27,diabetes mellitus
PTPN22,diabetes mellitus
FGF21,diabetes mellitus
IL19,diabetes mellitus
HLA-DQA1,diabetes mellitus
HLA-DQB1,diabetes mellitus
HLA-DRB1,diabetes mellitus
HP,diabetes mellitus
HSD11B2,diabetes mellitus
IFNG,diabetes mellitus
IGF1,diabetes mellitus
IL2RA,diabetes mellitus
IL6,diabetes mellitus
IL10,diabetes mellitus
ITPR3,diabetes mellitus
KCNJ11,diabetes mellitus
NOS1,diabetes mellitus
NOS3,diabetes mellitus
IL20,diabetes mellitus
PAX4,diabetes mellitus
SLC29A3,diabetes mellitus
PRKCQ,diabetes mellitus
BACH2,diabetes mellitus
CCL20,diabetes mellitus
SLC11A1,diabetes mellitus
STAT3,diabetes mellitus
ABCC8,diabetes mellitus
HNF1A,diabetes mellitus
TNF,diabetes mellitus
TYK2,diabetes mellitus
CAT,diabetes mellitus
AIFM1,diabetes mellitus
CD69,diabetes mellitus
TPH2,depression
DISC1,depression
CRH,depression
CRHR1,depression
DRD2,depression
NR3C1,depression
HTR2A,depression
IL1B,depression
IL6,depression
NPY,depression
NTRK2,depression
BDNF,depression
S100A10,depression
S100B,depression
SLC6A2,depression
SLC6A4,depression
TPH1,depression
CRH,depression
NR3C1,depression
IL6,depression
MTHFR,depression
BDNF,depression
SLC6A4,depression
GSK3B,depression
NGF,depression
NPY,depression
S100A10,depression
CHRM2,depression
ADRA2A,depression
DBH,depression
DRD1,depression
SLC6A4,depression
CRHBP,depression
CRHR2,depression
PTGS2,depression
COMT,depression
HTR2A,depression
IL6R,depression
PPP1R1B,depression
FGFR1,depression
MORC1,depression
S100B,depression
HDAC5,depression
PDE4D,depression
TH,depression
TPH2,depression
DISC1,depression
RELN,depression
TPH2,depression
CNR1,depression
COMT,depression
CREB1,depression
CYP2D6,depression
DRD4,depression
ESR1,depression
FKBP5,depression
GAD1,depression
DISC1,depression
GRIN2B,depression
HCRT,depression
HTR1A,depression
HTR2C,depression
IFNG,depression
IGF1,depression
IDO1,depression
AR,depression
KCNK2,depression
LEP,depression
MAOA,depression
NR3C2,depression
MTHFR,depression
OPRK1,depression
OXTR,depression
P2RX7,depression
GAL,depression
ABCB1,depression
POMC,depression
PTGS2,depression
SLC6A3,depression
TAC1,depression
TNF,depression
VEGFA,depression
ARTN,depression
COMT,depression
CREB1,depression
CRP,depression
ACE,depression
FKBP5,depression
HTR1A,depression
HTR2A,depression
MAOA,depression
ABCB1,depression
SLC6A2,depression
TNF,depression
TPH1,depression
CACNA1C,depression
IL1A,depression
IL18,depression
REN,depression
CLOCK,depression
GRIA1,depression
CXCL8,depression
CYP2D6,depression
PCLO,depression
IL1B,depression
CYP2C19,depression
DRD3,depression
PCLO,depression
COX2,depression
CACNA1C,depression
BICC1,depression
DRD3,depression
GNB3,depression
HTR2C,depression
GFAP,depression
HP,depression
HTR1B,depression
ARNTL,depression
PDE4A,depression
SLC18A2,depression
TNFRSF1A,depression
CRHR1,depression
DRD2,depression
GSK3B,depression
NR3C2,depression
CNR2,depression
AKT1,depression
HTR3A,depression
MAOB,depression
NOS2,depression
NOS3,depression
PDE4B,depression
MAPK3,depression
BRCA1,depression
FTO,depression
PER2,depression
HTR1A,depression
CYP2C19,depression
SLC6A15,depression
CLOCK,depression
BDNF,depression
CHRNA4,depression
GNB3,depression
TNFRSF1B,depression
TRH,depression
VGF,depression
HOMER1,depression
CARTPT,depression
CNR1,depression
FKBP4,depression
GDNF,depression
DAOA,depression
GRM5,depression
GRM7,depression
HP,depression
MAOB,depression
NTRK2,depression
POMC,depression
S100B,depression
DTNBP1,depression
SLC6A4,depression
DPYSL2,depression
AGT,depression
DUSP1,depression
FGFR1,depression
GABRB3,depression
GAP43,depression
GLO1,depression
MCHR1,depression
GRIN2A,depression
GRM7,depression
HDAC2,depression
NRG1,depression
HSD11B1,depression
HTR4,depression
HTR7,depression
APP,depression
APRT,depression
ATXN3,depression
NCAM1,depression
OPRM1,depression
PDYN,depression
RELN,depression
PSEN1,depression
RORA,depression
SLC1A2,depression
DTNBP1,depression
PER3,depression
PDLIM5,depression
CYP2C9,depression
DBH,depression
GAD1,depression
HTR1B,depression
IFNG,depression
KCNK2,depression
OXTR,depression
REN,depression
SST,depression
TDO2,depression
SLC6A4,depression
DTNBP1,depression
HTR1A,depression
CDKN2A,depression
CHAT,depression
ADCY5,depression
ADCY7,depression
CNTF,depression
CRY2,depression
ANKK1,depression
DAOA,depression
GH1,depression
GPX1,depression
GRIA3,depression
GSTM1,depression
GTS,depression
HTT,depression
STMN1,depression
MTR,depression
OXT,depression
PDE1B,depression
PMCH,depression
RAC1,depression
NPS,depression
SLC18A1,depression
SOD1,depression
TACR1,depression
TTR,depression
UCN,depression
WFS1,depression
CAMK2A,depression
TIMELESS,depression
NRXN1,depression
HDAC9,depression
MED12,depression
HTR2A,depression
MIR1202,depression
ADCY7,depression
DCANP1,depression
CUX1,depression
DGKH,depression
DLG3,depression
DLG4,depression
DRD4,depression
EGF,depression
ESR2,depression
FGF2,depression
MYT1L,depression
GRIA2,depression
GRIK4,depression
EHD3,depression
APAF1,depression
HTR3A,depression
GDE1,depression
PTPRR,depression
SAT1,depression
LHPP,depression
SNAP25,depression
TRH,depression
HTR3B,depression
HOMER1,depression
IKBKE,depression
TTC9B,depression
HP1BP3,depression
DISC1,depression
GSK3B,depression
NTRK2,depression
CACNA1C,depression
HDAC6,depression
CDH13,depression
DEAF1,depression
CPLX2,depression
CPLX1,depression
ADCY8,depression
ADCYAP1,depression
CMKLR1,depression
CRY1,depression
ADRB1,depression
DLG4,depression
DPP4,depression
EGR3,depression
ERBB3,depression
WWC1,depression
FOLH1,depression
GABRA6,depression
GLUL,depression
DAOA-AS1,depression
GRIK3,depression
GYPE,depression
HIF1A,depression
HCN1,depression
AQP4,depression
KCNJ6,depression
NPSR1,depression
LDHA,depression
LTA4H,depression
M6PR,depression
MC1R,depression
MC4R,depression
ASMT,depression
ATF3,depression
NGFR,depression
NTS,depression
OAS2,depression
PEX5L,depression
PFKFB3,depression
PNOC,depression
SLCO1C1,depression
SLC29A3,depression
MAPK8,depression
PYY,depression
RNF123,depression
SOD2,depression
SYN1,depression
TLE1,depression
CALM2,depression
HTR3B,depression
LGI1,depression
HDAC4,depression
CRH,depression
POMC,depression
DRD2,depression
S100A10,depression
TPH1,depression
HDAC5,depression
TSNAX-DISC1,depression
CDH7,depression
RNF41,depression
AKAP8,depression
TOMM40,depression
DEAF1,depression
ADCY5,depression
ACSM1,depression
CRHBP,depression
CSF2RB,depression
CTLA4,depression
CTNND2,depression
FREM3,depression
DRD5,depression
EGFR,depression
EMP1,depression
CMYA5,depression
ERBB3,depression
PLCB1,depression
FMR1,depression
CNTNAP2,depression
GFAP,depression
GJA1,depression
DISC2,depression
GRM1,depression
HSPA1A,depression
HSPA1B,depression
IFNA1,depression
APRT,depression
IL2RA,depression
ITIH1,depression
KPNA3,depression
LRP1,depression
LSAMP,depression
M6PR,depression
ARRB1,depression
ARSA,depression
MDM4,depression
MIF,depression
NDUFV2,depression
NEFL,depression
NOS1,depression
NTF3,depression
NTRK3,depression
NR4A2,depression
OAS2,depression
SERPINE1,depression
PAWR,depression
NTM,depression
PCNT,depression
GMIP,depression
PDYN,depression
ACP1,depression
ATP7B,depression
PON1,depression
DDIT4,depression
CC2D1A,depression
AVP,depression
MCTP2,depression
MAP2K1,depression
PTX3,depression
CCND1,depression
PROK2,depression
BCL9,depression
BCR,depression
BDKRB2,depression
CCL2,depression
NPAS3,depression
SGK1,depression
PINK1,depression
SLC1A6,depression
BMP7,depression
SLIT3,depression
TEF,depression
TFCP2,depression
TH,depression
LRP8,depression
REEP5,depression
CAT,depression
KMO,depression
PEA15,depression
KALRN,depression
ARTN,depression
FOXP2,depression
QKI,depression
GABBR2,depression
MED12,depression
HTR1A,depression
DRD1,depression
DRD2,depression
TOR1A,depression
SLC5A7,depression
S100B,depression
SLC6A2,depression
TH,depression
HTR2A,depression
SLC6A3,depression
SLC18A2,depression
TPH1,depression
SLC6A4,depression
ESR2,depression
MTR,depression
SLC6A4,depression
FKBP5,depression
MAOA,depression
ATXN1,depression
TPPP,depression
HDAC5,depression
ADCY2,depression
CPLX2,depression
CPLX1,depression
AKR1C4,depression
ADD3,depression
TPH2,depression
NCAN,depression
AANAT,depression
GRK3,depression
DRD1,depression
DRD5,depression
THSD7A,depression
NTNG1,depression
SHANK2,depression
RIMS1,depression
SSBP2,depression
GAD1,depression
GAD2,depression
TENM4,depression
NPAS4,depression
ANK3,depression
GRIK2,depression
GRIK4,depression
GRIN2A,depression
NR3C1,depression
GSK3A,depression
INS,depression
ITIH1,depression
MAOA,depression
MTHFR,depression
NCAM1,depression
NDUFV2,depression
NTRK1,depression
PC,depression
PLEKHO1,depression
PDE4B,depression
MRPS33,depression
SERPINA1,depression
POMC,depression
POU3F2,depression
ZCCHC2,depression
PACS1,depression
RELN,depression
FSTL5,depression
STARD9,depression
PVALB,depression
RPS6KA2,depression
SCN2A,depression
SLC5A3,depression
SNAP25,depression
SP4,depression
SRPK2,depression
STK4,depression
TAC1,depression
TACR1,depression
TRPC3,depression
TRPM2,depression
TSHB,depression
CACNA1D,depression
LMAN2L,depression
NTNG2,depression
DIXDC1,depression
BHLHE40,depression
KMO,depression
FADS2,depression
CD47,depression
ZNF592,depression
TRANK1,depression
CHRNA2,depression
CHRNB3,depression
CSMD2,depression
OR7D4,depression
AANAT,depression
DGKB,depression
DUSP4,depression
DUSP6,depression
A2M,depression
FGFR2,depression
ALK,depression
GABRA3,depression
FGF20,depression
DKK4,depression
GRID1,depression
GRN,depression
GRM1,depression
GRPR,depression
GSTT1,depression
HCRTR1,depression
IMPA2,depression
LIF,depression
ARRB2,depression
ATF4,depression
NEFM,depression
ATP1A3,depression
NPAS2,depression
ATP2A2,depression
PENK,depression
FEV,depression
PPP3CC,depression
PRKCI,depression
BAG1,depression
SFRP1,depression
SLC1A1,depression
SLC6A1,depression
SNAP25,depression
SRD5A1,depression
SERPINA6,depression
FGF17,depression
SGCE,depression
CHRNA6,depression
TBX19,depression
ARHGEF10,depression
PDCD6,depression
CNR2,depression
ADORA2A,depression
CREBBP,depression
CSF3,depression
DRD5,depression
ALB,depression
ACSL4,depression
FGF2,depression
FGFR1,depression
CADM1,depression
FTH1,depression
FTL,depression
GLO1,depression
GNAS,depression
GNB1,depression
NR3C1,depression
GSK3A,depression
GSK3B,depression
HTR7,depression
IFNA2,depression
APP,depression
IL6,depression
KCNK2,depression
MIF,depression
MTHFR,depression
NOS1,depression
NPY,depression
NPY1R,depression
PDCD2,depression
GHRL,depression
PON1,depression
RELN,depression
PTGS2,depression
BDNF,depression
S100A10,depression
SELP,depression
SLC6A4,depression
SNAP25,depression
SOD1,depression
TG,depression
DIXDC1,depression
IFI44L,depression
TPH2,depression
CRHR1,depression
FREM3,depression
EDN1,depression
FKBP5,depression
IFI6,depression
GAD1,depression
GAD2,depression
GALR1,depression
NR4A1,depression
HTR2A,depression
IL2,depression
MPO,depression
GAL,depression
RELN,depression
SLC6A4,depression
SOD2,depression
TAC1,depression
XDH,depression
CACNA1C,depression
CAT,depression
GALR3,depression
GALR2,depression
ISG15,depression
HDAC5,depression
HSPA1A,depression
HSPA1B,depression
HSPA1L,depression
KYAT3,depression
CDKN2A,depression
HPSE,depression
IL24,depression
UCN3,depression
CNP,depression
CNR2,depression
ADORA2A,depression
CSF3,depression
PRIMA1,depression
ADRA1A,depression
DDC,depression
DLG2,depression
EIF4B,depression
ENPEP,depression
ALB,depression
ACSL4,depression
CADM1,depression
MTOR,depression
FTH1,depression
FTL,depression
ABI3BP,depression
FOXD3,depression
GLO1,depression
GNB1,depression
ANPEP,depression
GSK3A,depression
TBX21,depression
HIF1A,depression
HLF,depression
HSPA1L,depression
HSP90AA1,depression
HTR7,depression
IFNA2,depression
IL11,depression
CXCL10,depression
INS,depression
IRF7,depression
KDR,depression
LDHA,depression
MIR30E,depression
MAP2,depression
MMP8,depression
NCAM1,depression
NDUFV1,depression
NELL1,depression
NPY1R,depression
OXT,depression
